Tape_ID,Data_Size,Units
MSC-04,230.0,GB
MSC-13,432.0,GB
MSC-18,653.0,GB
MSC-15,750.0,GB
MSC-06,762.0,GB
MSC-08,834.0,GB
MSC-12,879.0,GB
MSC-10,907.0,GB
MSC-07,976.0,GB
MSC-11,1.13,TB
MSC-19,1.2,TB
MSC-03,1.2,TB
MSC-16,1.73,TB
MSC-05,1.9,TB
MSC-01,2.2,TB
MSC-02,2.73,TB
MSC-09,2.98,TB
MSC-17,3.45,TB
MSC-14,3.87,TB
